NAME,SUBSCRIPTION,RESOURCE GROUP,LOCATION,STATUS,OPERATING SYSTEM,SIZE,PUBLIC IP ADDRESS,DISKS,UPDATE STATUS
"lxdmoodle01","DsiDev01","FAD-RG","West Europe","Stopped (deallocated)","Linux","Standard_D2s_v3"," -","1","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/8d6d19d2-d4f8-4542-9421-d59f4257ccc5/resourcegroups/fad-rg/providers/microsoft.compute/virtualmachines/lxdmoodle01""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"lxdsbxmdlapp4.azure.forem.be","DsiDev01","RGDMOODLE","West Europe","Running","Linux","Standard_D2s_v5"," -","1","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/8d6d19d2-d4f8-4542-9421-d59f4257ccc5/resourcegroups/rgdmoodle/providers/microsoft.compute/virtualmachines/lxdsbxmdlapp4.azure.forem.be""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"lxdsbxmdlapp5.azure.forem.be","DsiDev01","RGDMOODLE","West Europe","Running","Linux","Standard_D2s_v5"," -","1","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/8d6d19d2-d4f8-4542-9421-d59f4257ccc5/resourcegroups/rgdmoodle/providers/microsoft.compute/virtualmachines/lxdsbxmdlapp5.azure.forem.be""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"lxdsbxmdlapp6.azure.forem.be","DsiDev01","RGDMOODLE","West Europe","Running","Linux","Standard_D2s_v5"," -","1","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/8d6d19d2-d4f8-4542-9421-d59f4257ccc5/resourcegroups/rgdmoodle/providers/microsoft.compute/virtualmachines/lxdsbxmdlapp6.azure.forem.be""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"lxdsbxmdldb1","DsiDev01","rgdmoodle","West Europe","Running","Linux","Standard_D2s_v5"," -","1","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/8d6d19d2-d4f8-4542-9421-d59f4257ccc5/resourcegroups/rgdmoodle/providers/microsoft.compute/virtualmachines/lxdsbxmdldb1""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"lxdsmzmariadb1.azure.forem.be","DsiDev01","rgdmariadb","West Europe","Running","Linux","Standard_D2s_v5"," -","2","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/8d6d19d2-d4f8-4542-9421-d59f4257ccc5/resourcegroups/rgdmariadb/providers/microsoft.compute/virtualmachines/lxdsmzmariadb1.azure.forem.be""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"lxpcepegra01","CspProd01","rgpcepegra","West Europe","Running","Linux","Standard_D2s_v3"," -","1","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/39b847ee-38c1-4871-97bc-b815e2e56539/resourcegroups/rgpcepegra/providers/microsoft.compute/virtualmachines/lxpcepegra01""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"lxpconfluence1.azure.forem.be","CspProd01","rgpatlassian","West Europe","Running","Linux","Standard_D2s_v5"," -","1","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/39b847ee-38c1-4871-97bc-b815e2e56539/resourcegroups/rgpatlassian/providers/microsoft.compute/virtualmachines/lxpconfluence1.azure.forem.be""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"lxpdefectdojo1.azure.forem.be","DsiProd01","rgpdefectdojo","West Europe","Running","Linux","Standard_D2s_v5"," -","1","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/be5ce746-52ca-483a-9c9b-782111a94978/resourcegroups/rgpdefectdojo/providers/microsoft.compute/virtualmachines/lxpdefectdojo1.azure.forem.be""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"lxpdependencytrack1.azure.forem.be","CspProd01","RGPOUTILSDDI","West Europe","Running","Linux","Standard_D4s_v5"," -","1","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/39b847ee-38c1-4871-97bc-b815e2e56539/resourcegroups/rgpoutilsddi/providers/microsoft.compute/virtualmachines/lxpdependencytrack1.azure.forem.be""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"lxphrapr1","CspProd01","RGPHR4FPR","West Europe","Running","Linux","Standard_D4ds_v5"," -","2","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/39b847ee-38c1-4871-97bc-b815e2e56539/resourcegroups/rgphr4fpr/providers/microsoft.compute/virtualmachines/lxphrapr1""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"lxpibefehuy1","CspProd01","rgpibefehuy","West Europe","Running","Linux","Standard_B2ms"," -","1","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/39b847ee-38c1-4871-97bc-b815e2e56539/resourcegroups/rgpibefehuy/providers/microsoft.compute/virtualmachines/lxpibefehuy1""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"lxpidm1.redhat.azure.forem.be","DsiTier0","rgplinuxcore","West Europe","Running","Linux","Standard_D4s_v5"," -","1","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/c704e378-20de-426d-af3d-6ef10c3545f0/resourcegroups/rgplinuxcore/providers/microsoft.compute/virtualmachines/lxpidm1.redhat.azure.forem.be""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"lxpidm2.redhat.azure.forem.be","DsiTier0","rgplinuxcore","West Europe","Running","Linux","Standard_D4s_v5"," -","1","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/c704e378-20de-426d-af3d-6ef10c3545f0/resourcegroups/rgplinuxcore/providers/microsoft.compute/virtualmachines/lxpidm2.redhat.azure.forem.be""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"lxpidm3.azure.forem.be","DsiTier0","rgplinuxcore","West Europe","Running","Linux","Standard_B1s"," -","1","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/c704e378-20de-426d-af3d-6ef10c3545f0/resourcegroups/rgplinuxcore/providers/microsoft.compute/virtualmachines/lxpidm3.azure.forem.be""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"lxpjira1.azure.forem.be","CspProd01","RGPATLASSIAN","West Europe","Running","Linux","Standard_D2s_v5"," -","1","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/39b847ee-38c1-4871-97bc-b815e2e56539/resourcegroups/rgpatlassian/providers/microsoft.compute/virtualmachines/lxpjira1.azure.forem.be""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
